seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,54.22,5.000,0.00
1,measure,survey,0.00,0.00,2,direction,6.44,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,direction,344.30,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,direction,12.06,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,direction,242.46,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,600.00,1039.23,1,direction,252.81,365.000,1200.00
21,measure,survey,600.00,1039.23,2,direction,297.70,371.000,1200.00
22,measure,survey,600.00,1039.23,3,no_signal,,377.000,1200.00
23,measure,survey,600.00,1039.23,4,no_signal,,383.000,1200.00
24,measure,survey,600.00,1039.23,5,no_signal,,389.000,1200.00
25,measure,survey,600.00,1039.23,6,no_signal,,395.000,1200.00
26,measure,survey,600.00,1039.23,7,no_signal,,401.000,1200.00
27,measure,survey,600.00,1039.23,8,no_signal,,407.000,1200.00
28,measure,survey,600.00,1039.23,9,no_signal,,413.000,1200.00
29,measure,survey,600.00,1039.23,10,no_signal,,419.000,1200.00
30,measure,survey,600.00,1039.23,11,no_signal,,425.000,1200.00
31,measure,survey,600.00,1039.23,12,no_signal,,431.000,1200.00
32,measure,survey,600.00,1039.23,13,no_signal,,437.000,1200.00
33,measure,survey,600.00,1039.23,14,direction,299.28,443.000,1200.00
34,measure,survey,600.00,1039.23,15,no_signal,,449.000,1200.00
35,measure,survey,600.00,1039.23,16,no_signal,,455.000,1200.00
36,measure,survey,600.00,1039.23,17,no_signal,,461.000,1200.00
37,measure,survey,600.00,1039.23,18,no_signal,,467.000,1200.00
38,measure,survey,600.00,1039.23,19,no_signal,,473.000,1200.00
39,measure,survey,600.00,1039.23,20,no_signal,,479.000,1200.00
40,clear,survey-clear,486.91,677.52,1,success,,559.795,1578.97
41,measure,survey-clear,-600.00,1039.23,3,no_signal,,794.897,2724.49
42,measure,survey-clear,-600.00,1039.23,4,no_signal,,800.897,2724.49
43,measure,survey-clear,-600.00,1039.23,5,no_signal,,806.897,2724.49
44,measure,survey-clear,-600.00,1039.23,6,no_signal,,812.897,2724.49
45,measure,survey-clear,-600.00,1039.23,7,no_signal,,818.897,2724.49
46,measure,survey-clear,-600.00,1039.23,8,no_signal,,824.897,2724.49
47,measure,survey-clear,-600.00,1039.23,9,no_signal,,830.897,2724.49
48,measure,survey-clear,-600.00,1039.23,10,no_signal,,836.897,2724.49
49,measure,survey-clear,-600.00,1039.23,11,direction,203.13,842.897,2724.49
50,measure,survey-clear,-600.00,1039.23,12,no_signal,,848.897,2724.49
51,measure,survey-clear,-600.00,1039.23,13,no_signal,,854.897,2724.49
52,measure,survey-clear,-600.00,1039.23,15,no_signal,,860.897,2724.49
53,measure,survey-clear,-600.00,1039.23,16,no_signal,,866.897,2724.49
54,measure,survey-clear,-600.00,1039.23,17,no_signal,,872.897,2724.49
55,measure,survey-clear,-600.00,1039.23,18,direction,196.65,878.897,2724.49
56,measure,survey-clear,-600.00,1039.23,19,no_signal,,884.897,2724.49
57,measure,survey-clear,-600.00,1039.23,20,no_signal,,890.897,2724.49
58,measure,survey-clear,-1200.00,0.00,3,no_signal,,1136.897,3924.49
59,measure,survey-clear,-1200.00,0.00,4,no_signal,,1142.897,3924.49
60,measure,survey-clear,-1200.00,0.00,5,no_signal,,1148.897,3924.49
61,measure,survey-clear,-1200.00,0.00,6,no_signal,,1154.897,3924.49
62,measure,survey-clear,-1200.00,0.00,7,no_signal,,1160.897,3924.49
63,measure,survey-clear,-1200.00,0.00,8,no_signal,,1166.897,3924.49
64,measure,survey-clear,-1200.00,0.00,9,no_signal,,1172.897,3924.49
65,measure,survey-clear,-1200.00,0.00,10,no_signal,,1178.897,3924.49
66,measure,survey-clear,-1200.00,0.00,11,direction,106.18,1184.897,3924.49
67,measure,survey-clear,-1200.00,0.00,12,no_signal,,1190.897,3924.49
68,measure,survey-clear,-1200.00,0.00,13,no_signal,,1196.897,3924.49
69,measure,survey-clear,-1200.00,0.00,15,no_signal,,1202.897,3924.49
70,measure,survey-clear,-1200.00,0.00,16,direction,314.54,1208.897,3924.49
71,measure,survey-clear,-1200.00,0.00,17,no_signal,,1214.897,3924.49
72,measure,survey-clear,-1200.00,0.00,18,direction,107.76,1220.897,3924.49
73,measure,survey-clear,-1200.00,0.00,19,direction,248.65,1226.897,3924.49
74,measure,survey-clear,-1200.00,0.00,20,no_signal,,1232.897,3924.49
75,clear,survey-clear,-415.50,-797.77,16,success,,1461.673,5043.36
76,measure,survey-clear,-600.00,-1039.23,3,no_signal,,1528.449,5347.25
77,measure,survey-clear,-600.00,-1039.23,4,no_signal,,1534.449,5347.25
78,measure,survey-clear,-600.00,-1039.23,5,no_signal,,1540.449,5347.25
79,measure,survey-clear,-600.00,-1039.23,6,no_signal,,1546.449,5347.25
80,measure,survey-clear,-600.00,-1039.23,7,no_signal,,1552.449,5347.25
81,measure,survey-clear,-600.00,-1039.23,8,no_signal,,1558.449,5347.25
82,measure,survey-clear,-600.00,-1039.23,9,no_signal,,1564.449,5347.25
83,measure,survey-clear,-600.00,-1039.23,10,no_signal,,1570.449,5347.25
84,measure,survey-clear,-600.00,-1039.23,12,no_signal,,1576.449,5347.25
85,measure,survey-clear,-600.00,-1039.23,13,no_signal,,1582.449,5347.25
86,measure,survey-clear,-600.00,-1039.23,15,no_signal,,1588.449,5347.25
87,measure,survey-clear,-600.00,-1039.23,17,no_signal,,1594.449,5347.25
88,measure,survey-clear,-600.00,-1039.23,19,direction,134.24,1600.449,5347.25
89,measure,survey-clear,-600.00,-1039.23,20,no_signal,,1606.449,5347.25
90,measure,survey-clear,600.00,-1039.23,2,direction,65.85,1852.449,6547.25
91,measure,survey-clear,600.00,-1039.23,3,no_signal,,1858.449,6547.25
92,measure,survey-clear,600.00,-1039.23,4,no_signal,,1864.449,6547.25
93,measure,survey-clear,600.00,-1039.23,5,direction,83.82,1870.449,6547.25
94,measure,survey-clear,600.00,-1039.23,6,no_signal,,1876.449,6547.25
95,measure,survey-clear,600.00,-1039.23,7,no_signal,,1882.449,6547.25
