seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,113.55,5.000,0.00
1,measure,survey,0.00,0.00,2,direction,199.29,11.000,0.00
2,measure,survey,0.00,0.00,3,direction,23.40,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,195.30,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,direction,119.40,77.000,0.00
13,measure,survey,0.00,0.00,14,direction,286.83,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,direction,32.43,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,direction,87.99,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,600.00,1039.23,1,direction,184.29,365.000,1200.00
21,measure,survey,600.00,1039.23,2,no_signal,,371.000,1200.00
22,measure,survey,600.00,1039.23,3,direction,316.36,377.000,1200.00
23,measure,survey,600.00,1039.23,4,direction,353.05,383.000,1200.00
24,measure,survey,600.00,1039.23,5,no_signal,,389.000,1200.00
25,measure,survey,600.00,1039.23,6,no_signal,,395.000,1200.00
26,measure,survey,600.00,1039.23,7,no_signal,,401.000,1200.00
27,measure,survey,600.00,1039.23,8,direction,116.26,407.000,1200.00
28,measure,survey,600.00,1039.23,9,no_signal,,413.000,1200.00
29,measure,survey,600.00,1039.23,10,no_signal,,419.000,1200.00
30,measure,survey,600.00,1039.23,11,no_signal,,425.000,1200.00
31,measure,survey,600.00,1039.23,12,direction,171.57,431.000,1200.00
32,measure,survey,600.00,1039.23,13,direction,208.50,437.000,1200.00
33,measure,survey,600.00,1039.23,14,no_signal,,443.000,1200.00
34,measure,survey,600.00,1039.23,15,no_signal,,449.000,1200.00
35,measure,survey,600.00,1039.23,16,direction,291.02,455.000,1200.00
36,measure,survey,600.00,1039.23,17,no_signal,,461.000,1200.00
37,measure,survey,600.00,1039.23,18,direction,184.13,467.000,1200.00
38,measure,survey,600.00,1039.23,19,no_signal,,473.000,1200.00
39,measure,survey,600.00,1039.23,20,direction,323.90,479.000,1200.00
40,clear,survey-clear,1163.18,502.89,3,no_target_in_range,,637.541,1977.71
41,clear,survey-clear,802.86,510.38,16,success,,714.619,2338.10
42,measure,survey-clear,1200.00,0.00,2,no_signal,,849.957,2984.78
43,measure,survey-clear,1200.00,0.00,3,direction,92.99,855.957,2984.78
44,measure,survey-clear,1200.00,0.00,4,direction,78.10,861.957,2984.78
45,measure,survey-clear,1200.00,0.00,5,no_signal,,867.957,2984.78
46,measure,survey-clear,1200.00,0.00,6,no_signal,,873.957,2984.78
47,measure,survey-clear,1200.00,0.00,7,no_signal,,879.957,2984.78
48,measure,survey-clear,1200.00,0.00,8,no_signal,,885.957,2984.78
49,measure,survey-clear,1200.00,0.00,9,no_signal,,891.957,2984.78
50,measure,survey-clear,1200.00,0.00,10,direction,273.02,897.957,2984.78
51,measure,survey-clear,1200.00,0.00,11,no_signal,,903.957,2984.78
52,measure,survey-clear,1200.00,0.00,12,no_signal,,909.957,2984.78
53,measure,survey-clear,1200.00,0.00,14,direction,217.64,915.957,2984.78
54,measure,survey-clear,1200.00,0.00,15,no_signal,,921.957,2984.78
55,measure,survey-clear,1200.00,0.00,17,no_signal,,927.957,2984.78
56,measure,survey-clear,1200.00,0.00,19,no_signal,,933.957,2984.78
57,measure,survey-clear,1200.00,0.00,20,direction,40.92,939.957,2984.78
58,measure,survey-clear,600.00,-1039.23,2,no_signal,,1185.957,4184.78
59,measure,survey-clear,600.00,-1039.23,5,direction,236.04,1191.957,4184.78
60,measure,survey-clear,600.00,-1039.23,6,direction,286.51,1197.957,4184.78
61,measure,survey-clear,600.00,-1039.23,7,no_signal,,1203.957,4184.78
62,measure,survey-clear,600.00,-1039.23,9,no_signal,,1209.957,4184.78
63,measure,survey-clear,600.00,-1039.23,10,direction,342.10,1215.957,4184.78
64,measure,survey-clear,600.00,-1039.23,11,no_signal,,1221.957,4184.78
65,measure,survey-clear,600.00,-1039.23,14,direction,141.57,1227.957,4184.78
66,measure,survey-clear,600.00,-1039.23,15,no_signal,,1233.957,4184.78
67,measure,survey-clear,600.00,-1039.23,17,no_signal,,1239.957,4184.78
68,measure,survey-clear,600.00,-1039.23,19,no_signal,,1245.957,4184.78
69,clear,survey-clear,227.73,-749.36,14,success,,1345.319,4656.60
70,measure,survey-clear,-600.00,-1039.23,2,direction,101.36,1526.723,5533.62
71,measure,survey-clear,-600.00,-1039.23,5,direction,336.30,1532.723,5533.62
72,measure,survey-clear,-600.00,-1039.23,6,no_signal,,1538.723,5533.62
73,measure,survey-clear,-600.00,-1039.23,7,direction,291.49,1544.723,5533.62
74,measure,survey-clear,-600.00,-1039.23,9,direction,92.67,1550.723,5533.62
75,measure,survey-clear,-600.00,-1039.23,11,no_signal,,1556.723,5533.62
76,measure,survey-clear,-600.00,-1039.23,15,no_signal,,1562.723,5533.62
77,measure,survey-clear,-600.00,-1039.23,17,no_signal,,1568.723,5533.62
78,measure,survey-clear,-600.00,-1039.23,19,no_signal,,1574.723,5533.62
79,clear,survey-clear,-755.33,-264.66,2,success,,1737.722,6323.61
80,clear,survey-clear,-640.02,-175.42,9,success,,1771.885,6469.43
81,measure,survey-clear,-1200.00,0.00,1,direction,50.36,1895.248,7056.24
82,measure,survey-clear,-1200.00,0.00,7,no_signal,,1901.248,7056.24
83,measure,survey-clear,-1200.00,0.00,11,no_signal,,1907.248,7056.24
84,measure,survey-clear,-1200.00,0.00,12,no_signal,,1913.248,7056.24
85,measure,survey-clear,-1200.00,0.00,13,direction,32.27,1919.248,7056.24
86,measure,survey-clear,-1200.00,0.00,15,no_signal,,1925.248,7056.24
87,measure,survey-clear,-1200.00,0.00,17,no_signal,,1931.248,7056.24
88,measure,survey-clear,-1200.00,0.00,19,no_signal,,1937.248,7056.24
89,clear,survey-clear,-413.45,958.87,1,success,,2190.288,8296.44
90,measure,survey-clear,-600.00,1039.23,8,direction,34.34,2236.912,8499.56
91,measure,survey-clear,-600.00,1039.23,11,no_signal,,2242.912,8499.56
92,measure,survey-clear,-600.00,1039.23,12,direction,32.57,2248.912,8499.56
93,measure,survey-clear,-600.00,1039.23,15,no_signal,,2254.912,8499.56
94,measure,survey-clear,-600.00,1039.23,17,no_signal,,2260.912,8499.56
95,measure,survey-clear,-600.00,1039.23,18,direction,355.62,2266.912,8499.56
96,measure,survey-clear,-600.00,1039.23,19,no_signal,,2272.912,8499.56
97,clear,survey-clear,-373.79,1183.07,12,no_target_in_range,,2329.526,8767.63
98,measure,refine,-373.79,1183.07,12,direction,204.70,2335.526,8767.63
99,clear,refine,-388.36,1176.55,12,success,,2343.717,8783.59
100,clear,refine,-311.72,552.49,13,success,,2474.466,9412.33
101,clear,refine,34.72,994.54,18,success,,2591.793,9973.96
102,clear,refine,297.68,1652.82,8,success,,2738.565,10682.83
103,clear,refine,1398.82,942.17,4,success,,3005.674,11993.37
104,clear,refine,1167.98,500.66,3,success,,3110.318,12491.59
