seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,survey,0.00,0.00,2,direction,273.65,11.000,0.00
2,measure,survey,0.00,0.00,3,direction,171.70,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,direction,20.31,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,324.44,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,direction,291.73,71.000,0.00
12,measure,survey,0.00,0.00,13,direction,14.47,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,direction,310.15,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,1200.00,0.00,1,no_signal,,365.000,1200.00
21,measure,survey,1200.00,0.00,2,no_signal,,371.000,1200.00
22,measure,survey,1200.00,0.00,3,no_signal,,377.000,1200.00
23,measure,survey,1200.00,0.00,4,no_signal,,383.000,1200.00
24,measure,survey,1200.00,0.00,5,no_signal,,389.000,1200.00
25,measure,survey,1200.00,0.00,6,no_signal,,395.000,1200.00
26,measure,survey,1200.00,0.00,7,direction,162.55,401.000,1200.00
27,measure,survey,1200.00,0.00,8,no_signal,,407.000,1200.00
28,measure,survey,1200.00,0.00,9,direction,201.32,413.000,1200.00
29,measure,survey,1200.00,0.00,10,no_signal,,419.000,1200.00
30,measure,survey,1200.00,0.00,11,no_signal,,425.000,1200.00
31,measure,survey,1200.00,0.00,12,direction,219.15,431.000,1200.00
32,measure,survey,1200.00,0.00,13,direction,78.71,437.000,1200.00
33,measure,survey,1200.00,0.00,14,no_signal,,443.000,1200.00
34,measure,survey,1200.00,0.00,15,no_signal,,449.000,1200.00
35,measure,survey,1200.00,0.00,16,direction,213.66,455.000,1200.00
36,measure,survey,1200.00,0.00,17,no_signal,,461.000,1200.00
37,measure,survey,1200.00,0.00,18,no_signal,,467.000,1200.00
38,measure,survey,1200.00,0.00,19,no_signal,,473.000,1200.00
39,measure,survey,1200.00,0.00,20,no_signal,,479.000,1200.00
40,clear,survey-clear,551.14,203.38,7,success,,619.997,1879.99
41,clear,survey-clear,1265.77,326.96,13,no_target_in_range,,768.045,2605.23
42,measure,survey-clear,600.00,1039.23,1,no_signal,,969.041,3580.21
43,measure,survey-clear,600.00,1039.23,2,no_signal,,975.041,3580.21
44,measure,survey-clear,600.00,1039.23,3,no_signal,,981.041,3580.21
45,measure,survey-clear,600.00,1039.23,4,no_signal,,987.041,3580.21
46,measure,survey-clear,600.00,1039.23,5,no_signal,,993.041,3580.21
47,measure,survey-clear,600.00,1039.23,6,no_signal,,999.041,3580.21
48,measure,survey-clear,600.00,1039.23,8,no_signal,,1005.041,3580.21
49,measure,survey-clear,600.00,1039.23,9,no_signal,,1011.041,3580.21
50,measure,survey-clear,600.00,1039.23,10,no_signal,,1017.041,3580.21
51,measure,survey-clear,600.00,1039.23,11,no_signal,,1023.041,3580.21
52,measure,survey-clear,600.00,1039.23,13,direction,311.81,1029.041,3580.21
53,measure,survey-clear,600.00,1039.23,14,no_signal,,1035.041,3580.21
54,measure,survey-clear,600.00,1039.23,15,no_signal,,1041.041,3580.21
55,measure,survey-clear,600.00,1039.23,17,no_signal,,1047.041,3580.21
56,measure,survey-clear,600.00,1039.23,18,no_signal,,1053.041,3580.21
57,measure,survey-clear,600.00,1039.23,19,no_signal,,1059.041,3580.21
58,measure,survey-clear,600.00,1039.23,20,no_signal,,1065.041,3580.21
59,measure,survey-clear,-600.00,1039.23,1,no_signal,,1311.041,4780.21
60,measure,survey-clear,-600.00,1039.23,2,no_signal,,1317.041,4780.21
61,measure,survey-clear,-600.00,1039.23,3,direction,232.43,1323.041,4780.21
62,measure,survey-clear,-600.00,1039.23,4,no_signal,,1329.041,4780.21
63,measure,survey-clear,-600.00,1039.23,5,direction,180.34,1335.041,4780.21
64,measure,survey-clear,-600.00,1039.23,6,no_signal,,1341.041,4780.21
65,measure,survey-clear,-600.00,1039.23,8,no_signal,,1347.041,4780.21
66,measure,survey-clear,-600.00,1039.23,10,no_signal,,1353.041,4780.21
67,measure,survey-clear,-600.00,1039.23,11,no_signal,,1359.041,4780.21
68,measure,survey-clear,-600.00,1039.23,14,no_signal,,1365.041,4780.21
69,measure,survey-clear,-600.00,1039.23,15,no_signal,,1371.041,4780.21
70,measure,survey-clear,-600.00,1039.23,17,direction,221.63,1377.041,4780.21
