step,x,y,kind
0,0.000,0.000,start
1,0.000,0.000,measure
2,0.000,0.000,measure
3,0.000,0.000,measure
4,0.000,0.000,measure
5,0.000,0.000,measure
6,0.000,0.000,measure
7,0.000,0.000,measure
8,0.000,0.000,measure
9,0.000,0.000,measure
10,0.000,0.000,measure
11,0.000,0.000,measure
12,0.000,0.000,measure
13,0.000,0.000,measure
14,0.000,0.000,measure
15,0.000,0.000,measure
16,0.000,0.000,measure
17,0.000,0.000,measure
18,0.000,0.000,measure
19,0.000,0.000,measure
20,0.000,0.000,measure
21,1320.000,-360.000,measure
22,1320.000,-360.000,measure
23,1320.000,-360.000,measure
24,1320.000,-360.000,measure
25,1320.000,-360.000,measure
26,1320.000,-360.000,measure
27,1320.000,-360.000,measure
28,1320.000,-360.000,measure
29,1320.000,-360.000,measure
30,1320.000,-360.000,measure
31,1320.000,-360.000,measure
32,1320.000,-360.000,measure
33,1320.000,-360.000,measure
34,1320.000,-360.000,measure
35,1320.000,-360.000,measure
36,1320.000,-360.000,measure
37,1320.000,-360.000,measure
38,1320.000,-360.000,measure
39,1320.000,-360.000,measure
40,1320.000,-360.000,measure
41,1080.000,520.000,measure
42,1080.000,520.000,measure
43,1080.000,520.000,measure
44,1080.000,520.000,measure
45,1080.000,520.000,measure
46,1080.000,520.000,measure
47,1080.000,520.000,measure
48,1080.000,520.000,measure
49,1080.000,520.000,measure
50,1080.000,520.000,measure
51,1080.000,520.000,measure
52,1080.000,520.000,measure
53,1080.000,520.000,measure
54,1080.000,520.000,measure
55,1080.000,520.000,measure
56,1080.000,520.000,measure
57,1080.000,520.000,measure
58,1080.000,520.000,measure
59,1080.000,520.000,measure
60,1080.000,520.000,measure
61,360.000,840.000,measure
62,360.000,840.000,measure
63,360.000,840.000,measure
64,360.000,840.000,measure
65,360.000,840.000,measure
66,360.000,840.000,measure
67,360.000,840.000,measure
68,360.000,840.000,measure
69,360.000,840.000,measure
70,360.000,840.000,measure
71,360.000,840.000,measure
72,360.000,840.000,measure
73,360.000,840.000,measure
74,360.000,840.000,measure
75,360.000,840.000,measure
76,360.000,840.000,measure
77,360.000,840.000,measure
78,360.000,840.000,measure
79,-360.000,1000.000,measure
80,-360.000,1000.000,measure
81,-360.000,1000.000,measure
82,-360.000,1000.000,measure
83,-360.000,1000.000,measure
84,-360.000,1000.000,measure
85,-360.000,1000.000,measure
86,-360.000,1000.000,measure
87,-360.000,1000.000,measure
88,-360.000,1000.000,measure
89,-360.000,1000.000,measure
90,-360.000,1000.000,measure
91,-360.000,1000.000,measure
92,-360.000,1000.000,measure
93,-360.000,1000.000,measure
94,-1080.000,360.000,measure
95,-1080.000,360.000,measure
96,-1080.000,360.000,measure
97,-1080.000,360.000,measure
98,-1080.000,360.000,measure
99,-1080.000,360.000,measure
100,-1080.000,360.000,measure
101,-1080.000,360.000,measure
102,-1080.000,360.000,measure
103,-1080.000,360.000,measure
104,-1080.000,360.000,measure
105,-1080.000,360.000,measure
106,-1080.000,360.000,measure
107,-1160.000,-1000.000,measure
108,-1160.000,-1000.000,measure
109,-1160.000,-1000.000,measure
110,-1160.000,-1000.000,measure
111,-1160.000,-1000.000,measure
112,-1160.000,-1000.000,measure
113,-1160.000,-1000.000,measure
114,-1160.000,-1000.000,measure
115,-1160.000,-1000.000,measure
116,-1160.000,-1000.000,measure
117,-1160.000,-1000.000,measure
118,-1160.000,-1000.000,measure
119,-120.000,-840.000,measure
120,-120.000,-840.000,measure
121,-120.000,-840.000,measure
122,-120.000,-840.000,measure
123,-120.000,-840.000,measure
124,-120.000,-840.000,measure
125,-120.000,-840.000,measure
126,-120.000,-840.000,measure
127,-120.000,-840.000,measure
128,-120.000,-840.000,measure
129,-120.000,-840.000,measure
130,-120.000,-840.000,measure
131,360.000,-1640.000,measure
132,360.000,-1640.000,measure
133,360.000,-1640.000,measure
134,360.000,-1640.000,measure
135,360.000,-1640.000,measure
136,360.000,-1640.000,measure
137,360.000,-1640.000,measure
138,360.000,-1640.000,measure
139,360.000,-1640.000,measure
140,360.000,-1640.000,measure
141,360.000,-1640.000,measure
142,726.644,-1350.049,clear
143,807.886,-975.030,clear
144,1078.668,-797.324,clear
145,388.951,166.522,clear
146,1362.390,631.850,clear
147,500.127,918.238,clear
148,-3.905,1683.761,clear
149,-708.771,1282.530,clear
150,-652.690,1082.277,clear
151,5.551,815.995,clear
152,-107.263,72.784,clear
153,-395.277,57.306,clear
154,-1628.113,-341.301,clear
155,-555.187,-1249.634,clear
