seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,sweep,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,sweep,0.00,0.00,2,direction,234.31,11.000,0.00
2,measure,sweep,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,sweep,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,sweep,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,sweep,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,sweep,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,sweep,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,sweep,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,sweep,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,sweep,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,sweep,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,sweep,0.00,0.00,13,direction,279.12,77.000,0.00
13,measure,sweep,0.00,0.00,14,direction,46.52,83.000,0.00
14,measure,sweep,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,sweep,0.00,0.00,16,direction,294.38,95.000,0.00
16,measure,sweep,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,sweep,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,sweep,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,sweep,0.00,0.00,20,direction,141.32,119.000,0.00
20,measure,sweep,961.27,-166.95,1,no_signal,,320.131,975.66
21,measure,sweep,961.27,-166.95,3,no_signal,,326.131,975.66
22,measure,sweep,961.27,-166.95,4,no_signal,,332.131,975.66
23,measure,sweep,961.27,-166.95,5,no_signal,,338.131,975.66
24,measure,sweep,961.27,-166.95,6,no_signal,,344.131,975.66
25,measure,sweep,961.27,-166.95,7,no_signal,,350.131,975.66
26,measure,sweep,961.27,-166.95,8,no_signal,,356.131,975.66
27,measure,sweep,961.27,-166.95,9,no_signal,,362.131,975.66
28,measure,sweep,961.27,-166.95,10,no_signal,,368.131,975.66
29,measure,sweep,961.27,-166.95,11,no_signal,,374.131,975.66
30,measure,sweep,961.27,-166.95,12,no_signal,,380.131,975.66
31,measure,sweep,961.27,-166.95,13,direction,221.10,386.131,975.66
32,measure,sweep,961.27,-166.95,14,direction,94.97,392.131,975.66
