seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,146.78,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,direction,348.43,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,329.16,53.000,0.00
9,measure,survey,0.00,0.00,10,direction,154.00,59.000,0.00
10,measure,survey,0.00,0.00,11,direction,180.16,65.000,0.00
11,measure,survey,0.00,0.00,12,direction,218.77,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,direction,299.80,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,direction,245.13,119.000,0.00
20,measure,survey,-790.14,-605.45,1,no_signal,,324.087,995.44
21,measure,survey,-790.14,-605.45,2,direction,313.55,330.087,995.44
22,measure,survey,-790.14,-605.45,3,no_signal,,336.087,995.44
23,measure,survey,-790.14,-605.45,4,no_signal,,342.087,995.44
24,measure,survey,-790.14,-605.45,5,no_signal,,348.087,995.44
25,measure,survey,-790.14,-605.45,6,no_signal,,354.087,995.44
26,measure,survey,-790.14,-605.45,7,no_signal,,360.087,995.44
27,measure,survey,-790.14,-605.45,8,no_signal,,366.087,995.44
28,measure,survey,-790.14,-605.45,9,no_signal,,372.087,995.44
29,measure,survey,-790.14,-605.45,10,direction,89.49,378.087,995.44
30,measure,survey,-790.14,-605.45,11,direction,73.17,384.087,995.44
31,measure,survey,-790.14,-605.45,12,direction,32.66,390.087,995.44
32,measure,survey,-790.14,-605.45,13,no_signal,,396.087,995.44
33,measure,survey,-790.14,-605.45,14,no_signal,,402.087,995.44
34,measure,survey,-790.14,-605.45,15,no_signal,,408.087,995.44
35,measure,survey,-790.14,-605.45,16,no_signal,,414.087,995.44
36,measure,survey,-790.14,-605.45,17,no_signal,,420.087,995.44
37,measure,survey,-790.14,-605.45,18,direction,169.84,426.087,995.44
38,measure,survey,-790.14,-605.45,19,no_signal,,432.087,995.44
39,measure,survey,-790.14,-605.45,20,direction,326.33,438.087,995.44
