seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,direction,234.51,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,direction,273.23,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,no_signal,,113.000,0.00
19,measure,survey,0.00,0.00,20,no_signal,,119.000,0.00
20,measure,survey,654.45,-750.06,1,no_signal,,324.087,995.44
21,measure,survey,654.45,-750.06,2,no_signal,,330.087,995.44
22,measure,survey,654.45,-750.06,3,no_signal,,336.087,995.44
23,measure,survey,654.45,-750.06,4,direction,145.95,342.087,995.44
24,measure,survey,654.45,-750.06,5,no_signal,,348.087,995.44
25,measure,survey,654.45,-750.06,6,no_signal,,354.087,995.44
26,measure,survey,654.45,-750.06,7,no_signal,,360.087,995.44
27,measure,survey,654.45,-750.06,8,no_signal,,366.087,995.44
28,measure,survey,654.45,-750.06,9,no_signal,,372.087,995.44
29,measure,survey,654.45,-750.06,10,no_signal,,378.087,995.44
30,measure,survey,654.45,-750.06,11,direction,232.02,384.087,995.44
31,measure,survey,654.45,-750.06,12,no_signal,,390.087,995.44
32,measure,survey,654.45,-750.06,13,no_signal,,396.087,995.44
33,measure,survey,654.45,-750.06,14,no_signal,,402.087,995.44
34,measure,survey,654.45,-750.06,15,no_signal,,408.087,995.44
35,measure,survey,654.45,-750.06,16,no_signal,,414.087,995.44
36,measure,survey,654.45,-750.06,17,direction,25.90,420.087,995.44
37,measure,survey,654.45,-750.06,18,no_signal,,426.087,995.44
38,measure,survey,654.45,-750.06,19,no_signal,,432.087,995.44
39,measure,survey,654.45,-750.06,20,no_signal,,438.087,995.44
40,measure,survey,981.71,16.45,1,no_signal,,610.775,1828.88
41,measure,survey,981.71,16.45,2,no_signal,,616.775,1828.88
42,measure,survey,981.71,16.45,3,direction,81.89,622.775,1828.88
43,measure,survey,981.71,16.45,5,no_signal,,628.775,1828.88
44,measure,survey,981.71,16.45,6,no_signal,,634.775,1828.88
