seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,no_signal,,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,direction,106.75,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,direction,196.90,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,no_signal,,47.000,0.00
8,measure,survey,0.00,0.00,9,no_signal,,53.000,0.00
9,measure,survey,0.00,0.00,10,direction,163.26,59.000,0.00
10,measure,survey,0.00,0.00,11,direction,172.98,65.000,0.00
11,measure,survey,0.00,0.00,12,direction,321.97,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,direction,41.12,101.000,0.00
17,measure,survey,0.00,0.00,18,direction,45.24,107.000,0.00
18,measure,survey,0.00,0.00,19,direction,264.97,113.000,0.00
19,measure,survey,0.00,0.00,20,direction,244.78,119.000,0.00
20,measure,survey,41.09,999.16,1,no_signal,,325.000,1000.00
21,measure,survey,41.09,999.16,2,no_signal,,331.000,1000.00
22,measure,survey,41.09,999.16,3,no_signal,,337.000,1000.00
23,measure,survey,41.09,999.16,4,direction,142.30,343.000,1000.00
24,measure,survey,41.09,999.16,5,no_signal,,349.000,1000.00
25,measure,survey,41.09,999.16,6,no_signal,,355.000,1000.00
26,measure,survey,41.09,999.16,7,no_signal,,361.000,1000.00
27,measure,survey,41.09,999.16,8,no_signal,,367.000,1000.00
28,measure,survey,41.09,999.16,9,direction,352.17,373.000,1000.00
29,measure,survey,41.09,999.16,10,direction,259.62,379.000,1000.00
30,measure,survey,41.09,999.16,11,direction,234.49,385.000,1000.00
31,measure,survey,41.09,999.16,12,no_signal,,391.000,1000.00
32,measure,survey,41.09,999.16,13,no_signal,,397.000,1000.00
33,measure,survey,41.09,999.16,14,no_signal,,403.000,1000.00
34,measure,survey,41.09,999.16,15,no_signal,,409.000,1000.00
35,measure,survey,41.09,999.16,16,direction,88.16,415.000,1000.00
36,measure,survey,41.09,999.16,17,direction,339.32,421.000,1000.00
37,measure,survey,41.09,999.16,18,direction,329.41,427.000,1000.00
38,measure,survey,41.09,999.16,19,no_signal,,433.000,1000.00
39,measure,survey,41.09,999.16,20,no_signal,,439.000,1000.00
40,clear,survey-clear,640.33,645.30,18,success,,583.183,1695.91
41,clear,survey-clear,798.10,698.98,17,no_target_in_range,,619.514,1862.57
42,clear,survey-clear,812.37,708.56,17,success,,627.952,1879.76
43,measure,survey-clear,806.79,590.84,1,no_signal,,657.523,1997.61
44,measure,survey-clear,806.79,590.84,2,no_signal,,663.523,1997.61
