seq,kind,stage,x_m,y_m,channel,outcome,theta_deg,virtual_time_s,travel_m
0,measure,survey,0.00,0.00,1,direction,181.77,5.000,0.00
1,measure,survey,0.00,0.00,2,no_signal,,11.000,0.00
2,measure,survey,0.00,0.00,3,no_signal,,17.000,0.00
3,measure,survey,0.00,0.00,4,no_signal,,23.000,0.00
4,measure,survey,0.00,0.00,5,no_signal,,29.000,0.00
5,measure,survey,0.00,0.00,6,no_signal,,35.000,0.00
6,measure,survey,0.00,0.00,7,no_signal,,41.000,0.00
7,measure,survey,0.00,0.00,8,direction,95.27,47.000,0.00
8,measure,survey,0.00,0.00,9,direction,291.49,53.000,0.00
9,measure,survey,0.00,0.00,10,no_signal,,59.000,0.00
10,measure,survey,0.00,0.00,11,no_signal,,65.000,0.00
11,measure,survey,0.00,0.00,12,no_signal,,71.000,0.00
12,measure,survey,0.00,0.00,13,no_signal,,77.000,0.00
13,measure,survey,0.00,0.00,14,no_signal,,83.000,0.00
14,measure,survey,0.00,0.00,15,no_signal,,89.000,0.00
15,measure,survey,0.00,0.00,16,no_signal,,95.000,0.00
16,measure,survey,0.00,0.00,17,no_signal,,101.000,0.00
17,measure,survey,0.00,0.00,18,no_signal,,107.000,0.00
18,measure,survey,0.00,0.00,19,direction,194.60,113.000,0.00
19,measure,survey,0.00,0.00,20,direction,177.86,119.000,0.00
20,measure,survey,-467.80,-878.67,1,direction,97.81,324.087,995.44
21,measure,survey,-467.80,-878.67,2,direction,325.89,330.087,995.44
22,measure,survey,-467.80,-878.67,3,no_signal,,336.087,995.44
23,measure,survey,-467.80,-878.67,4,no_signal,,342.087,995.44
24,measure,survey,-467.80,-878.67,5,no_signal,,348.087,995.44
25,measure,survey,-467.80,-878.67,6,direction,294.24,354.087,995.44
26,measure,survey,-467.80,-878.67,7,no_signal,,360.087,995.44
27,measure,survey,-467.80,-878.67,8,no_signal,,366.087,995.44
28,measure,survey,-467.80,-878.67,9,direction,359.41,372.087,995.44
29,measure,survey,-467.80,-878.67,10,no_signal,,378.087,995.44
30,measure,survey,-467.80,-878.67,11,no_signal,,384.087,995.44
31,measure,survey,-467.80,-878.67,12,no_signal,,390.087,995.44
32,measure,survey,-467.80,-878.67,13,no_signal,,396.087,995.44
33,measure,survey,-467.80,-878.67,14,no_signal,,402.087,995.44
34,measure,survey,-467.80,-878.67,15,no_signal,,408.087,995.44
35,measure,survey,-467.80,-878.67,16,no_signal,,414.087,995.44
36,measure,survey,-467.80,-878.67,17,no_signal,,420.087,995.44
37,measure,survey,-467.80,-878.67,18,no_signal,,426.087,995.44
38,measure,survey,-467.80,-878.67,19,direction,92.52,432.087,995.44
39,measure,survey,-467.80,-878.67,20,direction,93.37,438.087,995.44
40,clear,survey-clear,349.83,-887.50,9,success,,606.624,1813.12
41,measure,survey-clear,364.99,-911.48,2,direction,250.22,618.299,1841.49
42,measure,survey-clear,364.99,-911.48,3,no_signal,,624.299,1841.49
43,measure,survey-clear,364.99,-911.48,4,no_signal,,630.299,1841.49
44,measure,survey-clear,364.99,-911.48,5,no_signal,,636.299,1841.49
45,measure,survey-clear,364.99,-911.48,6,direction,221.88,642.299,1841.49
46,measure,survey-clear,364.99,-911.48,7,no_signal,,648.299,1841.49
47,measure,survey-clear,364.99,-911.48,8,no_signal,,654.299,1841.49
48,measure,survey-clear,364.99,-911.48,10,no_signal,,660.299,1841.49
49,measure,survey-clear,364.99,-911.48,11,direction,344.24,666.299,1841.49
50,measure,survey-clear,364.99,-911.48,12,no_signal,,672.299,1841.49
51,measure,survey-clear,364.99,-911.48,13,no_signal,,678.299,1841.49
52,measure,survey-clear,364.99,-911.48,14,direction,24.79,684.299,1841.49
53,measure,survey-clear,364.99,-911.48,15,no_signal,,690.299,1841.49
54,measure,survey-clear,364.99,-911.48,16,no_signal,,696.299,1841.49
55,measure,survey-clear,364.99,-911.48,17,no_signal,,702.299,1841.49
56,measure,survey-clear,364.99,-911.48,18,no_signal,,708.299,1841.49
57,measure,survey-clear,921.81,-322.23,3,no_signal,,876.443,2652.21
58,measure,survey-clear,921.81,-322.23,4,no_signal,,882.443,2652.21
59,measure,survey-clear,921.81,-322.23,5,no_signal,,888.443,2652.21
60,measure,survey-clear,921.81,-322.23,7,no_signal,,894.443,2652.21
61,measure,survey-clear,921.81,-322.23,8,no_signal,,900.443,2652.21
62,measure,survey-clear,921.81,-322.23,10,no_signal,,906.443,2652.21
63,measure,survey-clear,921.81,-322.23,11,direction,290.13,912.443,2652.21
64,measure,survey-clear,921.81,-322.23,12,no_signal,,918.443,2652.21
65,measure,survey-clear,921.81,-322.23,13,no_signal,,924.443,2652.21
66,measure,survey-clear,921.81,-322.23,14,direction,277.21,930.443,2652.21
67,measure,survey-clear,921.81,-322.23,15,no_signal,,936.443,2652.21
68,measure,survey-clear,921.81,-322.23,16,direction,86.94,942.443,2652.21
69,measure,survey-clear,921.81,-322.23,17,no_signal,,948.443,2652.21
70,measure,survey-clear,921.81,-322.23,18,no_signal,,954.443,2652.21
71,measure,survey-clear,853.73,486.69,3,no_signal,,1122.798,3463.99
72,measure,survey-clear,853.73,486.69,4,no_signal,,1128.798,3463.99
73,measure,survey-clear,853.73,486.69,5,direction,48.72,1134.798,3463.99
74,measure,survey-clear,853.73,486.69,7,no_signal,,1140.798,3463.99
75,measure,survey-clear,853.73,486.69,8,direction,177.37,1146.798,3463.99
76,measure,survey-clear,853.73,486.69,10,no_signal,,1152.798,3463.99
77,measure,survey-clear,853.73,486.69,12,no_signal,,1158.798,3463.99
78,measure,survey-clear,853.73,486.69,13,no_signal,,1164.798,3463.99
79,measure,survey-clear,853.73,486.69,15,no_signal,,1170.798,3463.99
80,measure,survey-clear,853.73,486.69,16,direction,73.57,1176.798,3463.99
81,measure,survey-clear,853.73,486.69,17,no_signal,,1182.798,3463.99
82,measure,survey-clear,853.73,486.69,18,no_signal,,1188.798,3463.99
83,measure,survey-clear,184.13,971.59,3,no_signal,,1360.146,4290.73
84,measure,survey-clear,184.13,971.59,4,no_signal,,1366.146,4290.73
85,measure,survey-clear,184.13,971.59,5,direction,356.85,1372.146,4290.73
86,measure,survey-clear,184.13,971.59,7,no_signal,,1378.146,4290.73
87,measure,survey-clear,184.13,971.59,10,no_signal,,1384.146,4290.73
88,measure,survey-clear,184.13,971.59,12,no_signal,,1390.146,4290.73
89,measure,survey-clear,184.13,971.59,13,no_signal,,1396.146,4290.73
90,measure,survey-clear,184.13,971.59,15,no_signal,,1402.146,4290.73
91,measure,survey-clear,184.13,971.59,16,direction,357.99,1408.146,4290.73
92,measure,survey-clear,184.13,971.59,17,no_signal,,1414.146,4290.73
93,measure,survey-clear,184.13,971.59,18,direction,64.23,1420.146,4290.73
94,clear,survey-clear,-49.04,528.36,8,success,,1525.311,4791.55
95,measure,survey-clear,-607.18,763.70,3,no_signal,,1652.457,5397.28
96,measure,survey-clear,-607.18,763.70,4,no_signal,,1658.457,5397.28
97,measure,survey-clear,-607.18,763.70,7,no_signal,,1664.457,5397.28
98,measure,survey-clear,-607.18,763.70,10,no_signal,,1670.457,5397.28
99,measure,survey-clear,-607.18,763.70,12,direction,236.30,1676.457,5397.28
100,measure,survey-clear,-607.18,763.70,13,no_signal,,1682.457,5397.28
101,measure,survey-clear,-607.18,763.70,15,no_signal,,1688.457,5397.28
102,measure,survey-clear,-607.18,763.70,17,no_signal,,1694.457,5397.28
103,measure,survey-clear,-607.18,763.70,18,no_signal,,1700.457,5397.28
104,clear,survey-clear,-586.09,-17.83,1,success,,1861.819,6179.09
105,measure,survey-clear,-1237.22,-102.44,3,no_signal,,1999.140,6835.70
106,measure,survey-clear,-1237.22,-102.44,4,no_signal,,2005.140,6835.70
107,measure,survey-clear,-1237.22,-102.44,7,no_signal,,2011.140,6835.70
108,measure,survey-clear,-1237.22,-102.44,10,no_signal,,2017.140,6835.70
109,measure,survey-clear,-1237.22,-102.44,12,direction,47.44,2023.140,6835.70
110,measure,survey-clear,-1237.22,-102.44,13,no_signal,,2029.140,6835.70
111,measure,survey-clear,-1237.22,-102.44,15,no_signal,,2035.140,6835.70
112,measure,survey-clear,-1237.22,-102.44,17,no_signal,,2041.140,6835.70
113,clear,survey-clear,-1054.02,99.95,12,no_target_in_range,,2098.738,7108.69
114,measure,refine,-1054.02,99.95,12,direction,231.93,2104.738,7108.69
115,clear,refine,-1078.01,69.44,12,success,,2117.500,7147.50
116,clear,refine,-520.89,19.76,20,success,,2234.365,7706.83
117,clear,refine,-500.51,-130.65,19,success,,2269.721,7858.61
118,clear,refine,-217.89,-1434.47,6,success,,2541.541,9192.71
119,clear,refine,211.54,-1339.04,2,success,,2634.522,9632.61
120,clear,refine,1227.82,-1155.54,11,no_target_in_range,,2844.065,10665.32
121,measure,refine,1227.82,-1155.54,11,direction,150.55,2850.065,10665.32
122,clear,refine,1217.17,-1149.28,11,success,,2857.536,10677.68
123,clear,refine,961.25,-635.92,14,success,,2977.259,11251.29
124,clear,refine,1230.03,914.50,5,success,,3296.969,12824.84
125,clear,refine,988.76,943.57,16,success,,3350.572,13067.86
126,measure,refine,782.37,1321.74,18,direction,136.51,3442.737,13498.69
127,clear,refine,487.96,1601.39,18,success,,3528.949,13904.75
